Province/State,State,Country/Region,Lat,Long,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20,4/19/20,4/20/20,4/21/20,4/22/20,4/23/20,4/24/20,4/25/20,4/26/20,4/27/20,4/28/20,4/29/20,4/30/20,5/1/20,5/2/20,5/3/20,5/4/20,5/5/20,5/6/20,5/7/20,5/8/20,5/9/20,5/10/20,5/11/20,5/12/20,5/13/20,5/14/20,5/15/20,5/16/20,5/17/20,5/18/20,5/19/20,5/20/20,5/21/20,5/22/20,5/23/20,5/24/20,5/25/20,5/26/20,5/27/20,5/28/20,5/29/20,5/30/20,5/31/20,6/1/20,6/2/20,6/3/20,6/4/20,6/5/20,6/6/20,6/7/20,6/8/20,6/9/20,6/10/20,6/11/20,6/12/20,6/13/20,6/14/20,6/15/20,6/16/20,6/17/20,6/18/20,6/19/20,6/20/20,6/21/20,6/22/20,6/23/20,6/24/20,6/25/20,6/26/20,6/27/20,6/28/20,6/29/20,6/30/20,7/1/20,7/2/20,7/3/20,7/4/20,7/5/20,7/6/20,7/7/20,7/8/20,7/9/20,7/10/20,7/11/20,7/12/20,7/13/20,7/14/20,7/15/20,7/16/20,7/17/20,7/18/20,7/19/20,7/20/20,7/21/20,7/22/20,7/23/20,7/24/20,7/25/20
Alabama,AL,US,32.3182,-86.9023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,12,29,39,51,78,81,106,157,196,242,386,531,587,638,830,947,999,1106,1270,1535,1633,1841,2006,2197,2499,2838,3008,3262,3583,3803,3953,4241,4404,4572,4723,4946,5424,5668,5831,6071,6026,6213,6627,6539,6947,7105,7294,7294,7888,7888,7888,8679,8946,9243,9375,9889,10145,10413,10665,10936,11338,11373,11699,11771,12086,12376,13052,13288,13670,14117,14478,14986,15650,16032,16530,17031,17359,17952,18630,18766,18851,19072,19387,20043,20500,20925,21422,21989,22845,23710,24601,25615,26272,26912,27312,28206,29002,29549,30021,30454,31097,32064,33206,34183,35083,35441,37175,38045,38962,40111,41865,42862,43953,44878,45785,46962,49174,50508,51947,53587,55545,57255,59067,61088,63091,65234,67011,68891,70358,71813,74212,76005,78130
Alaska,AK,US,61.3707,-152.4044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,6,9,9,9,22,36,42,59,69,69,69,114,119,133,143,147,157,171,185,191,213,226,235,246,257,272,277,285,293,300,309,314,319,321,329,335,337,339,339,341,345,351,355,364,364,368,368,368,371,372,374,377,379,379,381,383,383,387,388,388,388,388,400,401,401,403,407,407,408,410,411,424,429,433,459,466,486,504,512,523,535,543,562,572,592,609,624,653,660,663,675,695,707,720,741,752,758,760,789,813,833,851,880,901,937,975,1014,1060,1107,1134,1162,1180,1222,1268,1323,1385,1479,1539,1579,1631,1693,1734,1796,1875,1950,2042,2131,2193,2249,2339
American Samoa,AS,US,-14.271,-170.1322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arizona,AZ,US,33.7298,-111.4312,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,4,4,4,6,9,9,9,12,13,18,20,27,44,44,63,152,253,326,401,508,665,665,919,1157,1289,1413,1598,1937,2236,2269,2456,2575,2726,3018,3112,3393,3539,3702,3806,3962,4234,4511,4724,4929,5064,5251,5459,5769,6312,6286,6526,6716,6948,7202,7962,7969,8640,8640,8640,9305,9707,9945,10526,11119,11119,11380,11736,12176,12674,13169,13666,13945,14208,14576,14906,15348,15624,16053,16377,16575,16864,17318,17877,18472,19258,19936,20129,21264,22356,22886,24439,25451,26989,27678,28296,29852,31267,33039,34660,35706,36844,39185,40937,43445,46910,50127,52591,54599,58378,60190,63281,66659,70124,73920,74545,79228,84105,87445,91872,94567,98103,101455,105094,108614,112671,116892,119930,122467,123824,128097,131354,134613,138523,141265,143624,145183,148683,150609,152944,156301,160041
Arkansas,AR,US,34.9697,-92.3731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,6,12,16,22,22,37,64,62,100,164,197,230,306,349,381,386,443,504,560,614,679,738,743,853,915,993,1071,1127,1202,1228,1307,1410,1498,1583,1635,1695,1777,1781,1964,2262,2281,2465,2829,2909,2941,3055,3121,3192,3310,3310,3441,3431,3431,3496,3568,3665,3747,4012,3984,4043,4164,4236,4348,4463,4578,4759,4813,4923,5003,5458,5612,5775,5922,6029,6180,6277,6538,6777,7013,7253,7443,7818,8067,8425,8651,9101,9426,9740,10080,10368,10816,11547,12095,12501,12917,13191,13606,13928,14631,15142,15561,16083,16678,17375,18062,18740,19310,19818,20257,20777,21197,22075,22622,23209,23814,24253,24512,25246,26052,26803,27864,28367,28939,29812,30297,31114,31762,32533,33228,33927,34655,35246,36259,37249,37981
California,CA,US,36.1162,-119.6816,0,0,0,0,2,2,2,2,2,3,3,3,6,6,6,6,6,6,6,6,7,7,8,8,8,8,8,8,8,8,10,10,10,10,10,10,11,11,12,12,21,25,35,51,59,81,95,101,144,177,221,282,340,426,557,698,652,982,995,1077,1709,1931,2511,2982,3777,3006,3801,5739,6909,8131,8155,9191,12500,13878,13438,14336,15865,16957,18309,21408,22416,21794,22348,23338,24424,26182,29425,30812,28963,30978,33261,35396,37369,41399,42626,42164,43464,45031,46500,50442,52238,54753,53616,53616,56212,58815,60614,63779,67600,66680,67939,69382,71141,73164,76942,78819,80166,81457,83752,85997,88031,90252,92539,94020,96400,99387,101050,103813,106622,109895,111951,114733,117215,119348,122168,125738,128593,130615,133816,136641,139715,143377,146659,150018,152300,155726,158961,162798,167086,170862,175213,178546,184765,191477,195925,201112,206844,210584,215296,223646,231232,238681,246550,250514,252895,264681,271035,284012,292560,302484,310885,318761,324543,333357,346211,354885,364706,373259,380745,386906,397870,409305,421286,430773,440185,446452
Colorado,CO,US,39.0598,-105.3111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,7,7,15,34,45,49,101,131,160,160,216,277,277,363,591,720,921,1086,1430,1430,1734,2307,2627,2966,3342,3728,4173,4565,4950,5172,5429,5655,6202,6513,6893,7303,7691,7941,8280,8582,9047,9440,9634,10019,10368,10825,11182,12256,12968,13350,13798,14238,14675,15668,15793,16635,16534,16534,17317,17738,18318,18827,19703,19632,19735,20091,20401,20762,21232,21633,21938,22202,22482,22797,23191,23487,23964,24174,24256,24552,24754,25107,25598,26084,26364,26563,26774,27046,27346,27601,27834,27987,28169,28333,28484,28632,28807,29002,29115,29284,29427,29656,29886,30172,30333,30524,30689,30877,31139,31463,31780,32006,32290,32494,32698,33012,33335,33595,33849,34048,34240,34647,35099,35507,36173,36573,36895,37218,37668,38137,38708,39326,39770,40124,40548,41041,41680,42295,42962,43771
Connecticut,CT,US,41.5978,-72.7554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,5,11,22,24,30,68,96,159,159,194,327,415,618,875,1012,1291,1291,1993,2571,3128,3557,3824,4914,5276,5675,6906,7781,8781,9784,10538,11510,12035,13381,13989,14755,15884,16809,17550,17962,19815,20360,22469,23100,23936,24583,25269,25997,26312,26767,28764,28764,29287,29312,29312,30621,30995,31784,32411,33554,33554,33765,34333,34855,35464,36085,36703,37419,38116,38430,39017,39208,39640,40022,40468,40873,41303,41288,41559,41762,42022,42201,42740,42979,43091,43239,43460,43818,43968,44092,44179,44347,44461,44689,44994,45088,45235,45349,45429,45440,45557,45715,45755,45782,45899,45913,45994,46059,46206,46303,46362,46514,46572,46646,46717,46717,46717,46976,47033,47108,47209,47287,47287,47287,47510,47530,47636,47750,47893,47893,47893,48055,48096,48223,48232,48776,48776
Delaware,DE,US,39.3185,-75.5071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,6,7,8,16,26,30,30,39,56,87,104,119,143,163,163,232,264,319,368,393,450,593,673,783,928,1116,1209,1326,1479,1625,1761,1926,2014,2075,2323,2538,2745,2745,3200,3308,3442,3577,3576,4162,4575,4655,4734,4918,4918,5208,5208,5208,5371,5939,6111,6111,6277,6565,6741,6952,7223,7373,7373,7547,7670,7869,8037,8194,8386,8529,8529,8809,8965,9066,9096,9171,9236,9422,9498,9605,9685,9712,9746,9773,9845,9942,9972,10020,10056,10106,10173,10229,10264,10340,10403,10444,10499,10611,10681,10775,10820,10847,10889,10980,11017,11091,11226,11376,11474,11510,11731,11923,11996,12128,12293,12414,12462,12531,12652,12743,12804,12879,12969,13050,13114,13337,13429,13519,13624,13746,13792,13924,14202,14175
District of Columbia,DC,US,38.8974,-77.0268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,5,10,10,10,10,16,22,22,39,71,39,71,116,137,183,231,267,267,267,401,495,495,586,653,757,902,998,1097,1211,1440,1523,1660,1778,1875,1955,2058,2197,2350,2476,2666,2793,2927,3098,3206,3361,3699,3699,3841,3892,3994,4106,4658,4658,5016,5016,5016,5322,5461,5654,5899,6272,6272,6389,6485,6584,6736,6871,7123,7123,7270,7434,7551,7788,7893,7966,8110,8225,8334,8406,8492,8538,8717,8801,8857,8886,9016,9120,9199,9269,9332,9389,9474,9537,9589,9654,9709,9767,9799,9818,9847,9903,9952,9984,10020,10058,10094,10128,10159,10185,10216,10248,10292,10327,10365,10390,10435,10447,10482,10515,10569,10642,10679,10743,10801,10847,10906,10946,11026,11076,11115,11194,11261,11339,11427,11529,11571,11649,11717
